2022-05-24T18:36:06.461341167Z .:5353
2022-05-24T18:36:06.461572834Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:36:06.461572834Z CoreDNS-1.8.7
2022-05-24T18:36:06.461572834Z linux/amd64, go1.17.5, 
2022-05-24T20:06:19.400163230Z [INFO] 10.128.4.12:35223 - 1247 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000577467s
2022-05-24T20:06:19.515584860Z [INFO] 10.128.4.12:50286 - 29174 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000279216s
2022-05-24T20:06:25.122863200Z [INFO] 10.128.4.12:39234 - 47572 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000346727s
2022-05-24T20:06:29.118106961Z [INFO] 10.129.2.6:60812 - 46424 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000391778s
2022-05-24T20:08:32.011702051Z [INFO] 10.130.2.10:40118 - 32444 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000728307s
2022-05-24T20:08:50.313995542Z [INFO] 10.131.0.6:37504 - 57842 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000339597s
2022-05-24T20:08:54.683494948Z [INFO] 10.129.0.4:59261 - 56426 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000329485s
2022-05-24T20:09:46.491502379Z [INFO] 10.131.2.2:38832 - 178 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000361579s
2022-05-24T20:09:51.915159212Z [INFO] 10.128.0.28:50084 - 24837 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00036451s
2022-05-24T20:11:40.875208805Z [INFO] 10.128.0.75:52686 - 29608 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000327669s
2022-05-24T20:11:40.875255809Z [INFO] 10.128.0.75:44864 - 4498 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000401786s
2022-05-24T20:11:50.438826075Z [INFO] 10.131.0.6:47493 - 35509 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000284614s
2022-05-24T20:13:19.987816247Z [INFO] 10.130.0.10:40093 - 28190 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000350065s
